Company,Vision
Wyndham Worldwide Corporation,Homeowners insurance and home  warranty products that offer important protection for your family's most  valuable investment.
Ball Corporation,"hough we encourage and embrace our diversity of thought, business, location and language, we are One Ball. 
valuing:Uncompromising Integrity, Being Close to Our Customers, Behaving Like Owners
Focusing on Attention to Detail, Being Innovative"
Eastman Kodak Company,Inclusive environment in which we leverage diversity to achieve company business objectives and maximize the potential of individuals and the organization.
Exelis Inc.,"Inspired people who ACT in support of customers’ critical missions, delivering exceptional performance by...
 1.adapting to meet the needs of a changing world
 2. Collaborating with coworkers and customers
3.  Transforming our world through ingenious thinking"
"Alaska Air Group, Inc.","Integrating sustainability into our planning and business operations is a new and challenging journey. We have chosen to embrace these challenges, and take on sustainability enhancements that are important to the environment, our communities, and the advancement of the airline industry."
"Actavis, Inc.","Is a unique specialty pharmaceutical company focused on developing, manufacturing and commercializing high quality affordable generic and innovative branded pharmaceutical products for patients around the world."
"Chico's FAS, Inc.",Is constantly evolving and growing; always striving to meet the needs of our customers and associates.
"PPG Industries, Inc.","It is our vision to continue being the world’s leading coatings and specialty products and services company, serving customers in construction, consumer products, industrial and transportation markets and aftermarkets."
Navistar International Corporation,"It takes more than just a mission to succeed. It takes perseverance. It takes courage. And it takes drive. At Navistar we believe the world is propelled forward by new ideas, brave inventors and bold thinkers. That's why we're committed to giving our customers our best every day. We find new ways to help America's workers go that extra mile. We pioneer technologies that burn cleaner fuel. And we use the latest innovations to protect our troops, so they ride more safely into conflict - and back home. Pushing our industry forward is more than just our passion. It's our drive to deliver."
"Citrix Systems, Inc.",It\u2019s about what they need to do and what they need to achieve.
"J.C. Penney Company, Inc.","JCPenney is executing a strategic Long Range Plan that consists of four integrated strategies aimed at building a deeper, more enduring relationship with our customers, increasing the engagement and retention of our Associates, and delivering industry leading financial performance to our shareholders."
Joy Global Inc.,"Joy Global's vision is to achieve a sustainable and competitive business advantage through leadership and excellence in environmental, health and safety.We are focused on sending everyone at every office, manufacturing, warehousing, and customer site home safely each and every day."
"C. H. Robinson Worldwide, Inc.","Key trends continue to drive growth in third party transportation, such as increased outsourcing, adoption of core carrier programs, increased reliance on technology, and globalization of supply chains. To capitalize on those trends and meet our growth goals, we will continue to: 
Grow our share of the North American transportation and logistics market; 
Add new third-party logistics services; 
Develop intra-continental branch networks on other continents; and 
Expand our global freight forwarding network."
International Game Technology,"Lead and transform the gaming world by creating and providing the most innovative, ubiquitous, disruptive gaming experiences and solutions anywhere... for the demand of today and the opportunities of tomorrow."
"CenterPoint Energy, Inc.","Lead the nation in delivering energy, service and value."
"L Brands, Inc.","Limited Brands has long been recognized as a value-based organization.  We are committed to building a culture that fosters mutual respect, open communication and sharing. As an enterprise, we have chosen to live our professional lives by this philosophy…we consistently try to do what’s right. This behavior manifests in how we treat each other, how we treat customers, and how we support the communities in which we live and work. That’s what makes me so proud of the women and men who represent Limited Brands."
Archer-Daniels-Midland Company,"Looking ahead, and planning and investing for economic growth; "
M&T Bank Corporation,"M&T strives to be the best company our employees ever work for, the best bank our customers ever do business with and the best investment our shareholders ever make."
Google Inc.,"Make Internet advertising better - less intrusive, more effective, and more useful. "
DIRECTV,"Make the best VIDEO experience anytime and anywhere you want it in both the United States and Latin America.
"
"Quiksilver, Inc.",Making a difference to community and environment through the Quiksilver Foundation. The Quiksilver Foundation has a commitment to improving the quality of all our lives.
Cummins Inc.,Making people's lives better by unleashing the Power of Cummins.
United States Steel Corporation,"Making Steel. World Competitive. Building Value.  As we continue to build a talented and diverse workforce, we are committed to creating an inclusive work environment and achieving business success in the marketplace."
ManTech International Corporation,"ManTech will be our customers' most trusted industry partner, integral to their success. Our mission-driven company will be a strategy-focused organization, operating as One ManTech. We will be valued by our customers, esteemed by fellow employees, embraced by teammates, respected by competitors, prized by shareholders, and appreciated by our communities."
McKesson Corporation,"McKesson is helping transform healthcare into a modern, efficient, and
quality-driven system. McKesson Corporation is the leading provider of
supply, information and care management products and services designed
to reduce costs and improve quality across healthcare. McKesson solutions
empower healthcare professionals with the tools they need to deliver care
more effectively and efficiently. "
"MEMC Electronic Materials, Inc.","Methodology, employees, and partners contribute to making SunEdison a leading global solar energy service provider."
The Brink's Company,"More than 53 000 dedicated employees uphold the Brink’s standards of trust, integrity, respect, quality, innovation and safety. These core values govern our actions every day, and reflect what is really important for us as an organization."
"Express, Inc.","Neither inventors nor imitators, we strive to be innovators in all we do. We find inspiration from trends worldwide and interpret them in a way that is unique."
Dover Corporation,Not Defind Exiplicitly.
"Principal Financial Group, Inc.",o help people achieve their financial dreams both pre and post retirement through tailor-made solutions and trust-based services.
"Williams-Sonoma, Inc.","OFFERING QUALITY PRODUCTS AND OUTSTANDING SERVICE HAS BEEN OUR GOAL SINCE THE FIRST WILLIAMS-SONOMA STORE OPENED IN 1956. AS WE MOVE FORWARD, A SHARED COMMITMENT TO WHO WE ARE, WHERE WE ARE GOING AND HOW WE WILL GET THERE WILL HELP US CARRY ON THIS TRADITION."
"Burger King Worldwide, Inc.","Offering reasonably priced quality food, served quickly, in attractive, clean surroundings."
"ConAgra Foods, Inc.",One company growing by nourishing lives and finding a better way today one bite at a time.
"O'Reilly Automotive, Inc.",O'Reilly will provide a benefit and compensation plan that will attract and keep the kind of people that will enable the company to reach its goals of growth and success.
Zions Bancorporation,Oriented towards building something of enduring value. We are very focused on adding quality people to every level of our organization.
"Air Products & Chemicals, Inc.","Our brand research tells us that the understanding of our people is the Air Products difference. Their integrity, understanding, and passion create the personality of Air Products as an organization."
"The Interpublic Group of Companies, Inc.","our companies specialize in consumer advertising, digital marketing, communications planning and media buying, public relations and specialty marketing."
"Allergan, Inc.",Our focus fosters deep engagement with medical specialists and we make it our business to listen closely to their needs so that together we can advance patient care. We combine this strategic focus with a diversified approach that enables us to follow our research and development into new specialty areas where unmet needs are significant. 
Jacobs Engineering Group Inc.,"Our fundamental business strategy is building long-term client relationships. With more than 60 years in the industry, we have attracted and retained clients by providing superior customer value—in fact, over 90 percent of our work is repeat business from loyal clients. This strategy yields cost advantages, profits, and growth for us, allowing us to also attract and retain investors and thus fuel further growth."
MeadWestvaco Corporation,"Our global reach, market and consumer insights, creativity, materials, primary and secondary packaging, systems and support enhance our ability to create new opportunities for our employees and generate stronger returns to our shareholders."
Citigroup Inc.,Our goal for Citigroup is to be the most respected global financial services company.
PACCAR Inc,"Our goal is to reach the state-of-art innovation, excellence and competitiveness through research and technological advancement. Our approach involves participation and collaboration in a continuum of multidisciplinary research projects, each contributing to our knowledge base and core competencies while leveraging the results and experiences gained in previous projects."
"United Parcel Service, Inc.",Our goal is to synchronize the world of commerce by developing business solutions that create value and competitive advantages for our customers.
"Motorola Solutions, Inc.",Our history is rich. Our future is dynamic. We are Motorola and the spirit of invention is what drives us.
Qualcomm Incorporated,"Our lives are becoming less and less about wires and cables and more about wireless: from mobile phones, to the wireless Internet and now with wireless power. Low power wireless charging of consumer electronics – think electric toothbrush – and now mobile phones and laptops, has been around for many years, transferring a few watts of power over an air gap of a few millimeters. Wireless power though is about to take a huge leap in scale, as kilowatts can now be transferred over an air gap of hundreds of millimeters without the previous losses through poor energy transfer efficiency."
"Penske Automotive Group, Inc.","Our objective is to be the most profitable, growth-oriented automotive retailer in each of the markets in which we operate. To achieve this objective, we intend to expand our existing business platform and continue to grow our higher-margin businesses, expand through targeted acquisitions, implement “best practices” and emphasize customer service."
Duke Energy Corporation,"Our purpose is to create superior value for our customers, employees, communities and investors through the production, conversion, delivery and sale of energy and energy services."
"Netflix, Inc.","our streaming subscription business domestically and globally. We are continuously improving the customer experience, with a focus on expanding our streaming content, enhancing our user interface and extending our streaming service to even more Internet-connected devices, while staying within the parameters of our consolidated net income and operating segment contribution profit targets."
"Toll Brothers, Inc.",Our ultimate goal is for you to move into a home built to the highest standards.
Fastenal Company,"Our vision at Fastenal is to supply our customers with  the most friendly, helpful service as possible by minimizing stock-outs, and creating a streamlined process to supply your demand. Our core values at Fastenal are ""Innovation, Teamwork, Ambition, and Integrity."
"Tyson Foods, Inc.",Our vision at Tyson is to be the world’s first choice for protein while maximizing shareholder value.
State Farm Insurance Cos.,"Our vision for the future is to be the customer's first and best choice in
the products and services we provide. We will continue to be the leader in
the insurance industry and we will become a leader in the financial
services arena. Our customers' needs will determine our path. Our values
will guide us."
Caterpillar Inc.,"Our vision is a world in which all people’s basic needs  such as shelter, clean water, sanitation, food and reliable power are fulfilled in an environmentally sustainable way and a company that improves the quality of the environment and the communities where we live and work."
Edison International,"Our vision is captured in the phrase 'Leading the Way in Electricity'. Supporting this vision are our values of integrity, excellence, respect, continuous improvement and teamwork, which guide our work everyday. Our vision and values can be seen in our purchases of more renewable energy than any other utility nationwide, our national leadership in energy efficiency programs and our exceptional service reliability. In addition, Edison is one of the most honored companies for workplace and supplier diversity, and has one of American’s most generous work forces through the employee volunteerism and community support campaigns.

"
Atmos Energy Corporation,"Our vision is for Atmos Energy to be the safest provider of natural gas services. We will be recognized for reliable and exceptional customer service, for being a good employer and for achieving superior financial results."
Dana Holding Corporation,"Our vision is for Dana to operate efficiently as one integrated company focused on growing our core light and heavy-drive train products, structures, thermal and sealing businesses. This refocused product array will help us better support our global automotive, commercial vehicle, and off-highway markets.our vision also includes achieving much stronger cost and operating levels, which will enable us to prosper and grow."
"NV Energy, Inc.","Our vision is for NV Energy to be the best energy company in serving our customers, 
while delivering sustainable energy solutions."
"Darden Restaurants, Inc.","Our vision is to be a company that positively affects meaningfully more guests, employees, communities and business partners  a company that matters even more than we do today."
"Land O'Lakes, Inc.","Our vision is to be one of the best food and agricultural companies in the world by being:
1. Our customers' first choice; 
2. Our employees' first choice; 
3. Responsible to our owners; and 
4. A leader in our communities.
We are committed to doing more than meeting our customers' needs. We strive to delight our customers by anticipating and exceeding their expectations through an innovative and creative workforce. We recognize employees as our most important asset and we focus on making Land O'Lakes their first choice for work. We believe in respecting diversity and in encouraging teamwork, involvement, development and empowerment of all employees. We aim to create greater shareholder value while fulfilling our responsibilities as a cooperative. Finally, we recognize our responsibilities to the communities in which we operate. We are proactive in dedicating resources to build a better quality of life, operating in an ethical and environmentally sensitive manner and living by our values."
Huntington Bancshares Incorporated,"our vision is to be the best performing regional bank in the nation. We're focused on winning with those who mean so much to our success: our customers, shareholders, communities and all of us - Huntington's colleagues. "
TD Ameritrade Holding Corporation,Our vision is to be the Better investment firm for today’s investor.
Thrivent Financial for Lutherans,"Our vision is to be the organization that Lutherans, Lutheran congregations and Lutheran institutions seek first when pursuing their financial goals. More than creating financial solutions, we add the unique capability of enabling Lutherans to demonstrate their care and concern for
others."
Ameren Corporation,"Our vision is to be the recognized performance leader of the U.S. electric
and gas utility industry. Being a performance leader means we will
achieve operational excellence, industry-leading customer satisfaction and
superior financial performance."
Nationwide Mutual Insurance Co.,Our vision is to be the trusted advocate for U.S. consumers and businesses by protecting what matters most and building a secure financial future. 
Liberty Mutual Holding Company Inc.,Our vision is to develop Liberty Mutual Insurance Europe into an internationally recognised premier provider of insurance products and services using broker distribution focused on underwriting discipline and product innovation contributing positively to the Liberty Mutual Group by consistently achieving underwriting profitability.
"Staples, Inc.","Our vision is to establish Staples as the single-source product authority for millions of businesses, We are building on the strengths that are the foundation of our success by focusing on five key priorities: accelerate growth in our online businesses; fully integrate retail and online; improve retail store productivity; restructure our International Operations; and return cash to stakeholders."
Supervalu Inc.,"Our vision is to establish SUPERVALU’s retail banners as our shoppers’ primary destination for simple and affordable health and wellness solutions,” continued Stacey. “Those solutions include offering delicious nutrient-rich food as well as resources for overall health information, details on the nutritional content and benefits of products, tips for eating right or managing a specific health condition and advice from our team of corporate dietitians and pharmacists. We see an opportunity to serve as a partner to our customers, providing them with resources and information to help them take control over their health."
"Toys ""R"" Us, Inc.",Our Vision is to put joy in kids’ hearts and a smile on parents’ faces.
Ecolab Inc.,"Our vision keeps us focused on what we strive for to be the global leader in water, hygiene and energy technologies and services; providing and protecting what is vital: clean water, safe food, abundant energy and healthy environments."
Whirlpool Corporation,"Our vision reinforces that every home is our domain, every customer and customer activity our opportunity. This vision fuels the passion that we have for our customers, pushing us to provide innovative solutions to uniquely meet their needs. 
Pride... in our work and each other
Passion-> for creating unmatched customer loyalty for our brands
Performance-> that excites and rewards global investors with superior returns
We bring this vision to life through the power of our unique global enterprise and
our outstanding peopl, working together, everywhere.
"
AMR Corporation,"Outlines the values that guide the company and its employees. Our company Vision is comprised of three elements:  our mission, our values and our vision of the future."
PBF Energy Inc.,"PBF Energy strives to be a good neighbor in the communities where it operates, supporting schools,the arts, and social services while operating a safe and environmentally sound business. The company uses environmentally responsible technology and continuously seeks cleaner and smarter ways to fuel the world."
"Integrys Energy Group, Inc.",People Creating a Premier and Growing Energy Company.
Levi Strauss & Co.,People love our clothes and trust our company. We will market the most appealing and widely worn casual clothing in the world. We will clothe the world.
"Facebook, Inc.","People use Facebook to stay connected with friends and family, to discover what\u2019s going on in the world, and to share and express what matters to them."
Tesoro Corporation,"People will be regarded as the best and most thought after Product Researching and Global Manufacturing Globalize management group.""
"
The Boeing Company,"People working together as a global enterprise for aerospace industry leadership. How will we get there?
1. Operate as One Boeing
2. Deliver customer value
3. Lead with innovation
4. Fuel growth through productivity
5. Leverage global strength
"
"Best Buy Co., Inc.","People, Technology, And the pursuit of happiness."
Tenneco Inc.,"Pioneering global ideas for cleaner air, and smoother, quieter and safer transportation."
PPL Corporation,PPL Corporation believes the future belongs to energy companies that understand customer needs and are focused on deliberate growth that maximizes shareowner value.
URS Corporation,"Preferred partner, applying specialized, best-in-class process technologies worldwide to achieve pinnacle performance in our customers core businesses."
Curtiss-Wright Corporation,"Prioritizes the customer to ensure that we continue to deliver state-of-the-art, reliable solutions. "
Resolute Forest Products Inc.,Profitability and sustainability drive our future.
"Key Energy Services, Inc.","Provide customers with outstanding service, responsiveness and accessibility to enhance their quality of life."
Comerica Incorporated,"Provide employees the opportunity to select coverage in a vision plan. There are two plans available, both with scheduled benefits for exams, lenses, frames and contact lenses."
Carpenter Technology Corporation,Provide high-performance material solutions to our customers.
"Wal-Mart Stores, Inc.","Quality goods at low prices, responsible manufacturing, and opportunities for growth. We're dedicated to excellence in every part of our business."
Ralph Lauren Corporation,"Ralph Lauren Corporation is galloping at a faster clip than when its namesake founder first entered the arena some 45 years ago. With golden mallet brands such as Polo by Ralph Lauren, Chaps, RRL, Rugby, Club Monaco, and RLX Ralph Lauren, the company designs and markets apparel and accessories, home furnishings, and fragrances. Its collections are available at some 11,000 locations worldwide, including many upscale and mid-tier department stores. (Macy's accounts for 20% of all wholesale revenue.) The company operates about 380 Ralph Lauren, Club Monaco, and Rugby retail stores worldwide as well as half a dozen e-commerce sites. American style icon and CEO Lauren controls the company.
"
"Big Lots, Inc.",Recognised for providing an outstanding shopping experience for our customer value and developing our associates and creating growth for our shareholders.
"Zimmer Holdings, Inc.","Restore mobility, alleviate pain and improve the quality of life for patients around the world."
Hormel Foods Corporation,"s a leading branded food company with a focus on profitable growth and inspired by our founder's charge to ""Originate, don't imitate,"" we market a balanced portfolio of highly differentiated quality products."
"Fidelity National Financial, Inc.",Service excellence coupled with our passion to serve sets an FNF transaction apart from any other. Our people are experienced and empowered to provide full and quick customized solutions for every transaction.
EMC Corporation,Setting the standard of excellence in modern power systems globally.
"AptarGroup, Inc.","Shaping the future. We deliver innovative packaging solutions satisfying the need for convenience, safety, and security. We access the expertise of the world to innovate. We strive for solutions respecting the environment
and conserving natural resources."
U.S. Bancorp,"Sharing clear solutions on topics affecting our clients and their shareholders through innovative insights, sophisticated technology, and a solid tradition. "
The Sherwin-Williams Company,"Sherwin-Williams provides fast, flexible, responsive service and personalized, expert advice to meet the coating and color needs of builders, designers, specifiers, property managers and contractors. As North America’s largest single-source supplier of high-quality paints, stains, masonry coatings and brand-name wall and floor coverings, Sherwin-Williams is proud to have earned the EPA Presidential Green Chemistry Challenge Award for its innovative acrylic alkyd technology. Sherwin-Williams is dedicated to developing and implementing ways to lessen impact on the environment. Relying on the excellent innovation Sherwin-Williams is known for, the company continues to develop coating options that deliver maximum performance and meet the most stringent volatile organic compound (VOC) requirements, as well as institute practices that reduce waste and improve efficiencies in manufacturing and distribution."
International Business Machines Corporation,Solutions for a small planet .
PG&E Corporation,Strenthening of the leading position in electricity generation with the most effective and diversify asset portfolio assuming long term competetive advantage.
Bank of America Corporation,That strengthened a community.
"Equinix, Inc.","The advancement of the information-driven world. As part of this dedication, we will:
1. Protect, connect and power the digital economy;
2. Constantly strive to evolve and share our industry insights with our customers;
3. Continue to make necessary investments to expand and scale to our customers’ needs;
4. Act upon industry trends that will affect our business and the businesses of our customers;
5. Cultivate a rich, interconnected ecosystem of the top networks, carriers, cloud providers and business partners in the world."
The AES Corporation,"The AES company vision is to be the world’s leading sustainable power company that safely provides reliable, affordable energy. We seek to do this by leveraging our unique electricity platforms and the knowledge of our people to provide the energy and infrastructure solutions our customers truly need. Our people share a passion to help meet the world’s current and increasing energy needs, while providing communities and countries the opportunity for economic growth due to the availability of reliable, affordable electric power."
Peabody Energy Corporation,The company serves metallurgical and thermal coal customers in more than 25 countries on six continents. Peabody was named Energy Company of the Year at the 2014 Platts Global Energy Awards.
"United Continental Holdings, Inc.","The company’s mission is to create or rather establish the world’s leading airline. In order to accomplish this, the company has a vision which is to make the airline the best option for customers, to become the best option for employees to work for and lastly to become the best option for shareholders and investors to invest in."
Devon Energy Corporation,"The company's portfolio of oil and gas properties provides stable, environmentally responsible production and a platform for future growth. "
Calpine Corporation,The company's record of integrity and continued display of high ethical standards demonstrate its commitment to accomplish the job it set out to do-to be the finest power company in North America.
The Coca-Cola Company,"The framework for our Roadmap and guides every aspect of our business by describing what we need to accomplish in order to continue achieving sustainable, quality growth.

People: Be a great place to work where people are inspired to be the best they can be.
Portfolio: Bring to the world a portfolio of quality beverage brands that anticipate and satisfy people's desires and needs.
Partners: Nurture a winning network of customers and suppliers, together we create mutual, enduring value.
Planet: Be a responsible citizen that makes a difference by helping build and support sustainable communities.
Profit: Maximize long-term return to shareowners while being mindful of our overall responsibilities.
Productivity: Be a highly effective, lean and fast-moving organization."
Dean Foods Company,"The future, strong commitment to sustainable business practices and healthy approach to growing our business, we are poised to continue to deliver reliable, consistent growth."
OGE Energy Corp.,"The industry leader with a passion for helping customers, developing members and delivering stockholder value."
"Buckeye Partners, L.P.",The logistical solutions partner of choice for the global energy business.
"The Manitowoc Company, Inc.","The Manitowoc Company, Inc. expects compliance with its high standards of integrity throughout the organization and will take appropriate action against any employee who violates those standards or achieves results at the cost of violation of laws, policies, or unscrupulous dealing."
HNI Corporation,"THE MEMBERS OF HNI CORPORATION, ARE DEDICATED TO CREATING LONG-TERM VALUE FOR ALL OF OUR STAKEHOLDERS, TO EXCEEDING OUR CUSTOMERS’ EXPECTATIONS AND TO MAKING OUR COMPANY A GREAT PLACE TO WORK. WE WILL ALWAYS TREAT EACH OTHER, AS WELL AS CUSTOMERS, SUPPLIERS, SHAREHOLDERS AND OUR COMMUNITIES, WITH FAIRNESS AND RESPECT. OUR SUCCESS DEPENDS UPON BUSINESS SIMPLIFICATION, RAPID CONTINUOUS IMPROVEMENT AND INNOVATION IN EVERYTHING WE DO, INDIVIDUAL AND COLLECTIVE INTEGRITY."
The Babcock & Wilcox Company,"The preferred global leader, excelling in the delivery of advanced energy and operational solutions."
The Western Union Company,The Premier Financial Service Provider for the Underserved.
Morgan Stanley,"The talent and passion of our people are critical to our success. Together, we share a common set of values rooted in integrity and excellence."
"Pepco Holdings, Inc.","The vision for Pepco Holdings, Inc. (PHI) is to be the premier energy delivery and services company in the mid-Atlantic region through employees focused on customer service, reliability and profitability. PHI engages in a flexible business strategy centered on opportunities in our field of expertise: energy."
"Health Management Associates, Inc.",The vision of the BYU Healthcare Management Association is to impact lives in healthcare by discovering and cultivating passionate student leaders and preparing them to be model leaders within the healthcare industry.
Visa Inc.,"The world’s top credit card company now aims to rule all forms of electronic payments, even handling commercial purchases of up to $10 million. But first its computers need an overhaul."
Xerox Corporation,The world's leading technology and services in business process and document management.
"Mattel, Inc.",The World's Premier Toy Brands - Today and Tomorrow.
PharMerica Corporation,"These principles guide our strategic and operational decisions. We want to earn your trust as a valued provider, a provider that delivers industry-leading performance every day."
Owens Corning,"TheteamcreatingOwensCorning understood the market would belooking for innovative materials to substitute fortraditional materials–materials that would not only provide improved performance, but would also enable the development of new products and solutions. This was the vision."
Titan Machinery Inc.,This is a competitive industry and we are positioned to purchase equipment at the best priceand are able to pass it on to our customers. This means better deals for you.
Biogen Idec Inc.,"Through excellence in all that we do, Biogen Idec will become the most effective and most admired company in the biopharmaceutical industry, providing meaningful benefits for patients and exceptional value for shareholders."
"Mueller Industries, Inc.","Through relationship building and adherence to high standards of integrity and business ethics, create an environment known for our respect and commitment to our customers, employees, and suppliers"
The Shaw Group Inc.,"Throughout our rapid growth, our core values have remained constant-honesty in decision-making, personal responsibility and accountability, and leadership by example. These principles are at the heart of our ability to create and respond to market opportunities and have fueled our dramatic expansion."
"Triumph Group, Inc.","To achieve our goals, we protect the integrity of the individual Triumph companies while providing each company with the benefits of being part of a large corporation.  In return, each company is accountable for superior operating and financial results and for contributing to the overall success of the enterprise.  This operating philosophy provides flexibility to capitalize on the changing market environment while delivering superior customer satisfaction. "
"Mohawk Industries, Inc.","To actively contribute to sustainable development through Environmental protection, Social Responsibility and Economic Progress. To us, that means meeting the needs of society today, while respecting the ability of future generations to meet their needs."
The Jones Group Inc.,To assemble the best and brightest of the national security and foreign policy communities in a premiere consulting firm where service comes first.
KLA-Tencor Corporation,"To attract and inspire world-class talent that enables market leadership, industry leading growth, and a superior business model."
"WESCO International, Inc.","To be a global leader of supply chain solutions, a company that is known for the best customer
service and the best people."
Fifth Third Bancorp,"To be a growth company that relentlessly meets today's needs while working hard to deliver a better tomorrow for our customers, our employees and our shareholders."
"Waste Management, Inc.","To be a leader in the development, implementation, and maintenance of innovative and sustainable waste reduction, recycling and collection services within an engaged community. "
Triple-S Management Corporation,"To be a leader in the health, insurance and financial services industries."
"The McGraw-Hill Companies, Inc.",To be a leading canadian publisher of education solution for life long learning and enjoyment.
American National Insurance Company,To be a leading provider of financial products and services for current and future generations.
Reliance Steel & Aluminum Co.,"To be a market leader, committed to setting industry leading standards in all measures of business performance and customer service. We expect all of our employees to exhibit the highest levels of personal integrity, teamwork, and appreciation for our diverse individual and company cultures. We believe in always treating people fairly, whether employee, supplier, or customer, while always looking for ways to improve our service and contribution to the communities in which we live and work."
"NetApp, Inc.",To be a model company. We believe that being a model company means winning in the marketplace with integrity and honor.
"D.R. Horton, Inc.",To be a National Leader in the residential home building industry.
Westinghouse Air Brake Technologies Corporation,To be a premier source for technologically advanced freight and transit rail components and services.
"Trinity Industries, Inc.","To be a premier, diversified industrial company that owns market-leading businesses which provide superior products and services to customers while generating high-quality earnings and returns for shareholders."
"AutoZone, Inc.",To be a recognized brand and the preferred option for retail and fleet customers to fulfill their new vehicle(s) purchase throughout the Kingdom.
Hubbell Incorporated,To be a recognized leader in conserving natural resources to sustain our environment.
"Assurant, Inc.",To be a recognized leader in specialty insurance and financial services that provide peace of mind products to our customers. We deliver superior value through innovative and differentiated solutions that advance and secure the lives of our customers.
CONSOL Energy Inc.,"To be a strong asset to our shareholders, employees, customers and community partners moving forward."
"CC Media Holdings, Inc.",To be a strong community partner in each of the markets in which its employees live and work.
Molson Coors Brewing Company,"To be a top-performing brewer winning through inspired employees and great brands. We're driving growth by becoming an innovative, brand-led company, delivering and re-investing productivity for growth as we build a winning, value-based culture."
"Owens & Minor, Inc.",To be a world-class leader of supply chain management solutions to the selected segments of the healthcare industry we serve.
"WellPoint, Inc.",To be America's valued health partner.
"Molina Healthcare, Inc.",To be an innovative healthcare leader providing quality care and accessible services in an efficient and caring manner.
Eastman Chemical Company,To be an outperforming chemical company.
Tenet Healthcare Corporation,"To be as a leader in redefining health care delivery and will be recognized for the passion of its people and partners in providing quality, innovative care to the patients it serves in each community."
Lear Corporation,"To be consistently recognized by our:
1. Customers
2. Employees
3. Shareholders
4. Suppliers
5. And the communities     
As the company of first choice.                                                                                                                                       "
"Amazon.com, Inc.",To be earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online.
AMC Entertainment Inc.,To be known for our commitment to innovation. 
Spectra Energy Corp,To be North America's premier pipeline and midstream company.
Del Monte Corporation,To be one of the fastest growing global branded food and beverage companies.
CME Group Inc.,"To be one of the key players in maritime, training, marine engineering, logistics and consultancy services in Asia by the year 22."
Sysco Corporation,To be our customers' most valued and trusted business partner.
W.R. Grace & Co.,To be premier speciality chemical and material company applying innovative tecnologies to provide value-added product and services to the global market.
"Titan International, Inc.",To be recognised as the leader in the provision of building services for comfort and safety of the community and the individual in his home.
"Kraft Foods Group, Inc.","To be recognised as the undisputed leader in the global market for foods.""Helping People Around the World Eat and Live Better.""

"
"Werner Enterprises, Inc.","To be recognized as a global logistics partner providing customized supply chain solutions that manage cost, improve visibility and pursue continuous improvement throughout our customers’ network."
"Diebold, Incorporated","To be recognized as an essential partner in creating and implementing ideas that optimize convenience, efficiency and security."
Newfield Exploration Company,"To be recognized as the premier independent E&P company, delivering operational excellence, top tier business results and value to our shareholders, employees and the communities in which we live and work."
"Clean Harbors, Inc.","To be recognized as the premier provider of environmental, energy and industrial services."
Plexus Corp.,"To be recognized as The Product Realization Company, which develops and manufactures world-class products for our customers, while rewarding our employees and shareholders. "
Covance Inc.,"To be recognized by clients as the undisputed leader in providing drug development services and a trusted partner whose hallmarks are great people, high quality data, and a proven track record of integrating and streamlining development processes."
CHS Inc.,To be recognized nationally as a leader in the transformation of healthcare delivery and chosen for the quality and value of services we provide.
Energy Future Holdings Corp.,"To be recognized, through its operating businesses, as a leader in the energy industry and an enabler of economic development and social progress by providing safe, reliable, affordable and environmentally sustainable power."
Teachers Insurance and Annuity Association College Retirement,To be the #1 provider of lifetime financial security for those who serve others.
"Dr Pepper Snapple Group, Inc.",To be the best beverage business in the Americas.
"Coca-Cola Enterprises, Inc.",To be the best beverage sales and customer service company.
"Martin Marietta Materials, Inc.",To be the best company our size in any industry in the world.
Cincinnati Financial Corporation,To be the best company serving independent agents.
Weyerhaeuser Company,To be The Best Forest Products Company in the World and a Global Leader Among All Industries.
"MSC Industrial Direct Co., Inc.","To be the best industrial distributor in the world, as measured by our associates, customers, owners and suppliers."
"Praxair, Inc.","To be the best performing industrial gases company in the world as determined by our customers, employees, shareholders, suppliers and the communities in which we operate."
Erie Insurance Group,"To be the best regional insurance company delivering the highest levels of service and protection through independent Agents at a cost that competes with any competitor’s business model. Our
vision statement clarifies that we are and intend to be:
• Regional, not national, in scope
• A property/casualty/life insurer, not a financial
services company
• Committed to independent Agents to sell and provide
service to our Policyholders
• Focused on developing the people, capabilities and
infrastructure we need for long-term success."
"Family Dollar Stores, Inc.",To be the best small-format convenience and value retailer serving the needs of families in our neighborhoods.
"Arrow Electronics, Inc","To be the Clear #1 worldwide provider of products, services and solutions that connects technology with customers, powers the supply chain and delivers premium investment results."
Pacific Life,To be the company of choice for clients who seek asset protection and growth.
"Avon Products, Inc.","To be the company that best understands and satisfies the product, service and self- fulfillment needs of women globally."
"Crown Holdings, Inc.","To be the corporate leader, guiding and inspiring the most innovative Crown sector in Canada."
"BMC Software, Inc.",To be the de facto IT management platform for enterprises around the world.
"Aeropostale, Inc.","To be the dominant, multi-brand promotional specialty retailer delivering on our promises to our customers, associates and shareholders.
"
ConocoPhillips,"To be the E&P company of choice for all stakeholders by pioneering a new standard of excellence. Our SPIRIT Values consist of Safety, People, Integrity, Responsibility, Innovation and Teamwork."
"The Home Depot, Inc.","To be the first choice for affordable, diverse, innovative, and modern products in the home improvement industry.
"
"The Gap, Inc.",To be the first choice in family retail clothing while maximizing customer satisfaction and shareholder value. 
